Date;Region;Symbol;SessionUTC;AnalysisUTC;Version;Up;Down;ReferenciaBias;TCIM_Vies;TCIM_Score;TCIM_Motivos;TCIM_Alertas;Erro
27/11/2025;America;XAUUSD;2025-11-27T13:30:00+00:00;2025-11-27T13:15:00+00:00;1.2.3;0.099;0.011;COMPRA;FORA;-1.0;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Desfavorável (Preço abaixo da VWAP (-1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Fraco (ADX=12.2 abaixo de 22 (0).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
27/11/2025;Asia;USDJPY;2025-11-27T00:00:00+00:00;2025-11-26T23:30:00+00:00;1.2.1;0.104;0.084;COMPRA;FORA;-1.0;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Desfavorável (Preço abaixo da VWAP (-1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Fraco (ADX=10.7 abaixo de 15 (0).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
27/11/2025;Europe;EURUSD;2025-11-27T07:00:00+00:00;2025-11-27T06:30:00+00:00;1.2.2;0.1;0.087;COMPRA;FORA;0.0;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Neutro (Preço abaixo da VWAP (-1).; Preço acima da EMA50 (+0.5).) | Impulso: Fraco (ADX=12.9 abaixo de 14 (0).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
26/11/2025;America;XAUUSD;2025-11-26T13:30:00+00:00;2025-11-26T13:15:00+00:00;1.2.3;0.097;0.079;COMPRA;FORA;0.0;"Tendência: Alta moderada (EMAs apontando para cima, mas preço perdeu uma das médias.; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Desfavorável (Preço abaixo da VWAP (-1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Fraco (ADX=14.1 abaixo de 22 (0).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
26/11/2025;Asia;USDJPY;2025-11-26T00:00:00+00:00;2025-11-25T23:30:00+00:00;1.2.1;0.106;0.084;COMPRA;FORA;0.0;"Tendência: Baixa moderada (Tendência de baixa nos slopes, porém preço tenta se manter acima.; Confirmação H1: EMA50 inclinada para baixo (-0.5).) | Contexto: Neutro (Preço acima da VWAP intradiária (+1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Moderado (ADX=15.8 entre 15-20 (+1).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
26/11/2025;Europe;EURUSD;2025-11-26T07:00:00+00:00;2025-11-26T06:30:00+00:00;1.2.2;-1.002;0.099;VENDA;FORA;0.0;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Neutro (Preço acima da VWAP intradiária (+1).; Preço acima da EMA50 (+0.5).; Preco esticado > 1.9x ATR distante da EMA50 (-1).; Distancia > 3.0x ATR -> sinal vetado.) | Impulso: Forte (ADX=27.7 acima de 22 (+2).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Contexto: preço afastado demais da média (risco de correção). | Contexto extremo: afastamento excedeu limite configurado. Sinal cancelado.;
25/11/2025;America;XAUUSD;2025-11-25T13:30:00+00:00;2025-11-25T13:15:00+00:00;1.2.3;0.206;0.085;COMPRA;FORA;-1.0;"Tendência: Baixa (Slope EMA20/EMA50 negativos e preço abaixo das médias.; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Neutro (Preço acima da VWAP intradiária (+1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Fraco (ADX=19.9 abaixo de 22 (0).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
25/11/2025;Asia;USDJPY;2025-11-25T00:00:00+00:00;2025-11-24T23:30:00+00:00;1.2.1;-0.158;0.078;VENDA;COMPRA;3.0;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: EMA50 inclinada para cima (+0.5).) | Contexto: Favorável (Preço acima da VWAP intradiária (+1).; Preço acima da EMA50 (+0.5).) | Impulso: Moderado (ADX=18.2 entre 15-20 (+1).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
25/11/2025;Europe;EURUSD;2025-11-25T07:00:00+00:00;2025-11-25T06:30:00+00:00;1.2.2;0.129;0.102;COMPRA;FORA;-0.5;"Tendência: Neutro (Slopes das EMAs estão próximos de zero (lateral).; Confirmação H1: slope neutro.) | Contexto: Desfavorável (Preço abaixo da VWAP (-1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Moderado (ADX=19.4 entre 14-22 (+1).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
24/11/2025;America;XAUUSD;2025-11-24T13:30:00+00:00;2025-11-24T13:15:00+00:00;1.2.3;0.103;0.079;COMPRA;COMPRA;4.0;"Tendência: Alta (Slope EMA20/EMA50 positivos e preço sustentado acima das médias.; Confirmação H1: EMA50 inclinada para baixo (-0.5).) | Contexto: Favorável (Preço acima da VWAP intradiária (+1).; Preço acima da EMA50 (+0.5).) | Impulso: Moderado (ADX=28.1 entre 22-30 (+1).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
24/11/2025;Asia;USDJPY;2025-11-24T00:00:00+00:00;2025-11-23T23:30:00+00:00;1.2.1;-0.018;-0.042;COMPRA;FORA;0.0;"Tendência: Baixa moderada (Tendência de baixa nos slopes, porém preço tenta se manter acima.; Confirmação H1: EMA50 inclinada para baixo (-0.5).) | Contexto: Neutro (Preço acima da VWAP intradiária (+1).; Preço abaixo da EMA50 (-0.5).) | Impulso: Moderado (ADX=16.7 entre 15-20 (+1).) | Mitigação: Sem alertas (Volatilidade dentro do intervalo esperado.)";Nenhum alerta crítico.;
