Date,Region,Symbol,Version,SessionUTC,AnalysisUTC,BacktestVies,BacktestScore,LiveLikeVies,LiveLikeScore,SameVies,ScoreDelta,LastM15_BT,LastM15_LIVE,SameLastM15,Source_BT,Source_LIVE,Error
05/12/2025,America,XAUUSD,1.0.3,2025-12-05T13:30:00+00:00,2025-12-05T13:15:00+00:00,VENDA,-5.5,VENDA,-5.5,True,0.0,2025-12-05T13:00:00+00:00,2025-12-05T13:00:00+00:00,True,db,db,
05/12/2025,America,XAUUSD,1.2.3,2025-12-05T13:30:00+00:00,2025-12-05T13:15:00+00:00,VENDA,-3.5,VENDA,-3.5,True,0.0,2025-12-05T13:00:00+00:00,2025-12-05T13:00:00+00:00,True,db,db,
05/12/2025,Asia,USDJPY,1.2.1,2025-12-05T00:00:00+00:00,2025-12-04T23:30:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-04T23:15:00+00:00,2025-12-04T23:15:00+00:00,True,db,db,
05/12/2025,Asia,USDJPY,1.0.1,2025-12-05T00:00:00+00:00,2025-12-04T23:30:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-04T23:15:00+00:00,2025-12-04T23:15:00+00:00,True,db,db,
05/12/2025,Europe,EURUSD,1.2.2,2025-12-05T07:00:00+00:00,2025-12-05T06:45:00+00:00,VENDA,-1.0,VENDA,-1.0,True,0.0,2025-12-05T06:30:00+00:00,2025-12-05T06:30:00+00:00,True,db,db,
04/12/2025,America,XAUUSD,1.2.3,2025-12-04T13:30:00+00:00,2025-12-04T13:15:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-04T13:00:00+00:00,2025-12-04T13:00:00+00:00,True,db,db,
04/12/2025,America,XAUUSD,1.0.3,2025-12-04T13:30:00+00:00,2025-12-04T13:15:00+00:00,VENDA,-2.0,VENDA,-2.0,True,0.0,2025-12-04T13:00:00+00:00,2025-12-04T13:00:00+00:00,True,db,db,
04/12/2025,Asia,USDJPY,1.0.1,2025-12-04T00:00:00+00:00,2025-12-03T23:30:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-03T23:15:00+00:00,2025-12-03T23:15:00+00:00,True,db,db,
04/12/2025,Asia,USDJPY,1.2.1,2025-12-04T00:00:00+00:00,2025-12-03T23:30:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-03T23:15:00+00:00,2025-12-03T23:15:00+00:00,True,db,db,
04/12/2025,Europe,EURUSD,1.2.2,2025-12-04T07:00:00+00:00,2025-12-04T06:45:00+00:00,FORA,0.0,FORA,0.0,True,0.0,2025-12-04T06:30:00+00:00,2025-12-04T06:30:00+00:00,True,db,db,
